# ----------------------------------------
# wiki.ubc.ca
# Math Exam Resource Wiki
# 20130101-20130430
# ----------------------------------------

Day Index,Pageviews
1/1/13,63
1/2/13,62
1/3/13,64
1/4/13,59
1/5/13,20
1/6/13,20
1/7/13,48
1/8/13,11
1/9/13,90
1/10/13,86
1/11/13,60
1/12/13,41
1/13/13,14
1/14/13,58
1/15/13,66
1/16/13,49
1/17/13,48
1/18/13,34
1/19/13,9
1/20/13,54
1/21/13,87
1/22/13,81
1/23/13,102
1/24/13,102
1/25/13,98
1/26/13,109
1/27/13,53
1/28/13,137
1/29/13,124
1/30/13,337
1/31/13,609
2/1/13,229
2/2/13,439
2/3/13,878
2/4/13,730
2/5/13,171
2/6/13,96
2/7/13,103
2/8/13,106
2/9/13,79
2/10/13,116
2/11/13,346
2/12/13,499
2/13/13,746
2/14/13,18
2/15/13,7
2/16/13,65
2/17/13,23
2/18/13,26
2/19/13,36
2/20/13,512
2/21/13,38
2/22/13,19
2/23/13,92
2/24/13,37
2/25/13,68
2/26/13,60
2/27/13,142
2/28/13,130
3/1/13,78
3/2/13,44
3/3/13,75
3/4/13,178
3/5/13,183
3/6/13,573
3/7/13,673
3/8/13,29
3/9/13,193
3/10/13,201
3/11/13,358
3/12/13,267
3/13/13,202
3/14/13,183
3/15/13,15
3/16/13,21
3/17/13,82
3/18/13,205
3/19/13,173
3/20/13,86
3/21/13,61
3/22/13,155
3/23/13,61
3/24/13,53
3/25/13,195
3/26/13,205
3/27/13,199
3/28/13,33
3/29/13,121
3/30/13,136
3/31/13,168
4/1/13,254
4/2/13,596
4/3/13,361
4/4/13,442
4/5/13,681
4/6/13,339
4/7/13,686
4/8/13,922
4/9/13,1658
4/10/13,1689
4/11/13,2442
4/12/13,1571
4/13/13,4620
4/14/13,15178
4/15/13,8667
4/16/13,3450
4/17/13,3890
4/18/13,17891
4/19/13,18371
4/20/13,12956
4/21/13,37466
4/22/13,31609
4/23/13,774
4/24/13,147
4/25/13,136
4/26/13,138
4/27/13,38
4/28/13,51
4/29/13,107
4/30/13,27
